Kaggle,figshare
Aquatics Diving,Diving
Aquatics Marathon swimming,Swimming
Aquatics Swimming,Swimming
Aquatics Synchronized S.,Synchronized Swimming
Aquatics Synchronized Swimming,Synchronized Swimming
Aquatics Water polo,Water Polo
Archery,Archery
Athletics,Athletics
Badminton,Badminton
Baseball,Baseball
Basketball,Basketball
Basque Pelota,Basque Pelota
Biathlon,Biathlon
Biathlon,Military Ski Patrol
Bobsleigh,Bobsleigh
Bobsleigh Skeleton,Skeleton
Boxing,Boxing
Canoe / Kayak Canoe / Kayak F,Canoeing
Canoe / Kayak Canoe / Kayak S,Canoeing
Canoe Canoe Slalom,Canoeing
Canoe Canoe Sprint,Canoeing
Cricket,Cricket
Croquet,Croquet
Curling,Curling
Cycling BMX,Cycling
Cycling Cycling BMX,Cycling
Cycling Cycling Road,Cycling
Cycling Cycling Track,Cycling
Cycling Mountain Bike,Cycling
Equestrian Dressage,Equestrianism
Equestrian Eventing,Equestrianism
Equestrian Jumping,Equestrianism
Equestrian Vaulting,Equestrianism
Fencing,Fencing
Football,Football
Golf,Golf
Gymnastics Artistic G.,Gymnastics
Gymnastics Gymnastics Artistic,Gymnastics
Gymnastics Gymnastics Rhythmic,Gymnastics
Gymnastics Rhythmic G.,Rhythmic Gymnastics
Gymnastics Trampoline,Trampolining
Handball,Handball
Hockey,Hockey
Ice Hockey,Ice Hockey
Jeu de Paume,Jeu de Paume
Judo,Judo
Lacrosse,Lacrosse
Luge,Luge
Modern Pentathlon,Modern Pentathlon
Modern Pentathlon Modern Pentath.,Modern Pentathlon
Not in dataset,Alpinism
Not in dataset,Aeronautics
Not in dataset,Art Competitions
Not in dataset,Rugby Sevens
Polo,Polo
Rackets,Racquets
Roque,Roque
Rowing,Rowing
Rugby,Rugby
Sailing,Sailing
Shooting,Shooting
Skating Figure skating,Figure Skating
Skating Short Track Speed Skating,Short Track Speed Skating
Skating Speed skating,Speed Skating
Skiing Alpine Skiing,Alpine Skiing
Skiing Cross Country Skiing,Cross Country Skiing
Skiing Freestyle Skiing,Freestyle Skiing
Skiing Nordic Combined,Nordic Combined
Skiing Ski Jumping,Ski Jumping
Skiing Snowboard,Snowboarding
Softball,Softball
Table Tennis,Table Tennis
Taekwondo,Taekwondo
Tennis,Tennis
Triathlon,Triathlon
Tug of War,Tug-of-War
Volleyball,Volleyball
Volleyball Beach volley.,Beach Volleyball
Volleyball Beach Volleyball,Beach Volleyball
Water Motorsports Water Motorspor,Motorboating
Weightlifting,Weightlifting
Wrestling Wrestling Free.,Wrestling
Wrestling Wrestling Freestyle,Wrestling
Wrestling Wrestling Gre-R,Wrestling
